id,section_number,title,short_description,mapped_category,punishment,bailability_status,court_jurisdiction,full_legal_text,urgency_label
34,34,Acts done by several persons in furtherance of common intention,"When a criminal act is done by several persons in furtherance of the common intention of all, each of such persons is liable for that act in the same manner as if it were done by him alone.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"When a criminal act is done by several persons in furtherance of the common intention of all, each of such persons is liable for that act in the same manner as if it were done by him alone.",Low
35,35,When such an act is criminal by reason of its being done with a criminal knowledge or intention,"Whenever an act, which is criminal only by reason of its being done with a criminal knowledge or intention, is done by several persons, each of such persons who joins in the act with such knowledge or intention is liable for the act.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"Whenever an act, which is criminal only by reason of its being done with a criminal knowledge or intention, is done by several persons, each of such persons who joins in the act with such knowledge or intention is liable for the act in the same manner as if the act were done by him alone with that knowledge or intention.",Low
36,36,Effect caused partly by act and partly by omission,"Wherever the causing of a certain effect, or an attempt to cause that effect, by an act or by an omission, is an offence, it is to be understood that the causing of that effect partly by an act and partly by an omission is the same offence.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"Wherever the causing of a certain effect, or an attempt to cause that effect, by an act or by an omission, is an offence, it is to be understood that the causing of that effect partly by an act and partly by an omission is the same offence.",Low
37,37,Co-operation by doing one of several acts constituting an offence,"When an offence is committed by means of several acts, whoever intentionally co-operates in the commission of that offence by doing any one of those acts, either singly or jointly with any other person, commits that offence.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"When an offence is committed by means of several acts, whoever intentionally co-operates in the commission of that offence by doing any one of those acts, either singly or jointly with any other person, commits that offence.",Low
38,38,Persons concerned in criminal act may be guilty of different offences,"Where several persons are engaged or concerned in the commission of a criminal act, they may be guilty of different offences by means of that act.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"Where several persons are engaged or concerned in the commission of a criminal act, they may be guilty of different offences by means of that act.",Low
39,39,Voluntarily,"A person is said to cause an effect ""voluntarily"" when he causes it by means whereby he intended to cause it, or by means which, at the time of employing those means, he knew or had reason to believe to be likely to cause it.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"A person is said to cause an effect “voluntarily” when he causes it by means whereby he intended to cause it, or by means which, at the time of employing those means, he knew or had reason to believe to be likely to cause it.",Low
40,40,Offence,"The word ""offence"" denotes a thing made punishable by this Code.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"Except in the Chapters and sections mentioned in clauses 2 and 3 of this section, the word “offence” denotes a thing made punishable by this Code.",Low
41,41,Special law,"A ""special law"" is a law applicable to a particular subject.",General Explanations,Not Applicable,Not Applicable,Not Applicable,A “special law” is a law applicable to a particular subject.,Low
42,42,Local law,"A ""local law"" is a law applicable only to a particular part of India.",General Explanations,Not Applicable,Not Applicable,Not Applicable,A “local law” is a law applicable only to a particular part of India.,Low
43,43,"Illegal, Legally bound to do","The word ""illegal"" is applicable to everything which is an offence or which is prohibited by law, or which furnishes ground for a civil action.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"The word “illegal” is applicable to everything which is an offence or which is prohibited by law, or which furnishes ground for a civil action; and a person is said to be “legally bound to do” whatever it is illegal in him to omit.",Low
44,44,Injury,"The word ""injury"" denotes any harm whatever illegally caused to any person, in body, mind, reputation or property.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"The word “injury” denotes any harm whatever illegally caused to any person, in body, mind, reputation or property.",Low
45,45,Life,"The word ""life"" denotes the life of a human being, unless the contrary appears from the context.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"The word “life” denotes the life of a human being, unless the contrary appears from the context.",Low
46,46,Death,"The word ""death"" denotes the death of a human being, unless the contrary appears from the context.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"The word “death” denotes the death of a human being, unless the contrary appears from the context.",High
47,47,Animal,"The word ""animal"" denotes any living creature, other than a human being.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"The word “animal” denotes any living creature, other than a human being.",Low
48,48,Vessel,"The word ""vessel"" denotes anything made for the conveyance by water of human beings or of property.",General Explanations,Not Applicable,Not Applicable,Not Applicable,The word “vessel” denotes anything made for the conveyance by water of human beings or of property.,Low
49,49,"Year, Month","Wherever the word ""year"" or the word ""month"" is used, it is to be understood that the year or the month is to be reckoned according to the British calendar.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"Wherever the word “year” or the word “month” is used, it is to be understood that the year or the month is to be reckoned according to the British calendar.",Low
50,50,Section,"The word ""section"" denotes one of those portions of a Chapter of this Code which are distinguished by prefixed numeral figures.",General Explanations,Not Applicable,Not Applicable,Not Applicable,The word “section” denotes one of those portions of a Chapter of this Code which are distinguished by prefixed numeral figures.,Low
51,51,Oath,"The word ""oath"" includes a solemn affirmation substituted by law for an oath, and any declaration required or authorized by law to be made before a public servant or to be used for the purpose of proof, whether in a Court of Justice or not.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"The word “oath” includes a solemn affirmation substituted by law for an oath, and any declaration required or authorized by law to be made before a public servant or to be used for the purpose of proof, whether in a Court of Justice or not.",Low
52,52,Good faith,"Nothing is said to be done or believed in ""good faith"" which is done or believed without due care and attention.",General Explanations,Not Applicable,Not Applicable,Not Applicable,Nothing is said to be done or believed in “good faith” which is done or believed without due care and attention.,Low
52A,52A,Harbour,"Except in section 157, and in section 130 in the case in which the harbour is given by the wife or husband of the person harboured, the word ""harbour"" includes the supplying a person with shelter, food, drink, money, clothes, arms, ammunition or means of conveyance.",General Explanations,Not Applicable,Not Applicable,Not Applicable,"Except in section 157, and in section 130 in the case in which the harbour is given by the wife or husband of the person harboured, the word “harbour” includes the supplying a person with shelter, food, drink, money, clothes, arms, ammunition or means of conveyance, or the assisting a person by any means, whether of the same kind as those enumerated in this section or not, to evade apprehension.",Low
53,53,Punishments,"The punishments to which offenders are liable under the provisions of this Code are— First, Death; Secondly, Imprisonment for life;...",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"The punishments to which offenders are liable under the provisions of this Code are— First, Death; Secondly, Imprisonment for life; Thirdly, [Repealed]; Fourthly, Imprisonment, which is of two descriptions, namely:— (1) Rigorous, that is, with hard labour; (2) Simple; Fifthly, Forfeiture of property; Sixthly, Fine.",High
53A,53A,Construction of reference to transportation,"Any reference to ""transportation for life"" in any other law for the time being in force or in any instrument or order having effect by virtue of any such law or of any enactment repealed, shall be construed as a reference to ""imprisonment for life"".",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"(1) Subject to the provisions of sub-section (2) and sub-section (3), any reference to “transportation for life” in any other law for the time being in force or in any instrument or order having effect by virtue of any such law or of any enactment repealed shall be construed as a reference to “imprisonment for life”.",Low
54,54,Commutation of sentence of death,"In every case in which sentence of death shall have been passed, the appropriate Government may, without the consent of the offender, commute the punishment for any other punishment provided by this Code.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"In every case in which sentence of death shall have been passed, the appropriate Government may, without the consent of the offender, commute the punishment for any other punishment provided by this Code.",High
55,55,Commutation of sentence of imprisonment for life,"In every case in which sentence of imprisonment for life shall have been passed, the appropriate Government may, without the consent of the offender, commute the punishment for imprisonment of either description for a term not exceeding fourteen years.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"In every case in which sentence of imprisonment for life shall have been passed, the appropriate Government may, without the consent of the offender, commute the punishment for imprisonment of either description for a term not exceeding fourteen years.",Low
55A,55A,Definition of appropriate Government,"The expression ""appropriate Government"" means, in cases where the sentence is for an offence against any law relating to a matter to which the executive power of the Union extends, the Central Government.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"In sections fifty-four and fifty-five the expression “appropriate Government” means,— (a) in cases where the sentence is a sentence of death or is for an offence against any law relating to a matter to which the executive power of the Union extends, the Central Government; and (b) in cases where the sentence (whether of death or not) is for an offence against any law relating to a matter to which the executive power of the State extends, the Government of the State within which the offender is sentenced.",Low
56,56,Sentence of Europeans and Americans to penal servitude,"Repealed by the Criminal Law (Removal of Racial Discriminations) Act, 1949.",Of Punishments,Repealed,Repealed,Repealed,"Repealed by the Criminal Law (Removal of Racial Discriminations) Act, 1949 (17 of 1949).",Low
57,57,Fractions of terms of punishment,"In calculating fractions of terms of punishment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"In calculating fractions of terms of punishment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years.",Low
58,58,Offenders sentenced to transportation how dealt with until transported,"Repealed by the Code of Criminal Procedure (Amendment) Act, 1955.",Of Punishments,Repealed,Repealed,Repealed,"Repealed by the Code of Criminal Procedure (Amendment) Act, 1955 (26 of 1955).",Low
59,59,Transportation instead of imprisonment,"Repealed by the Code of Criminal Procedure (Amendment) Act, 1955.",Of Punishments,Repealed,Repealed,Repealed,"Repealed by the Code of Criminal Procedure (Amendment) Act, 1955 (26 of 1955).",Low
60,60,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,"In every case in which an offender is punishable with imprisonment which may be of either description, it shall be competent to the Court which sentences such offender to direct in the sentence that such imprisonment shall be wholly rigorous, or that such imprisonment shall be wholly simple, or that any part of such imprisonment shall be rigorous and the rest simple.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"In every case in which an offender is punishable with imprisonment which may be of either description, it shall be competent to the Court which sentences such offender to direct in the sentence that such imprisonment shall be wholly rigorous, or that such imprisonment shall be wholly simple, or that any part of such imprisonment shall be rigorous and the rest simple.",Low
61,61,Sentence of forfeiture of property,"Repealed by the Indian Penal Code (Amendment) Act, 1921.",Of Punishments,Repealed,Repealed,Repealed,"Repealed by the Indian Penal Code (Amendment) Act, 1921 (16 of 1921).",Low
62,62,"Forfeiture of property, in respect of offenders punishable with death, transportation or imprisonment","Repealed by the Indian Penal Code (Amendment) Act, 1921.",Of Punishments,Repealed,Repealed,Repealed,"Repealed by the Indian Penal Code (Amendment) Act, 1921 (16 of 1921).",High
63,63,Amount of fine,"Where no sum is expressed to which a fine may extend, the amount of fine to which the offender is liable is unlimited, but shall not be excessive.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"Where no sum is expressed to which a fine may extend, the amount of fine to which the offender is liable is unlimited, but shall not be excessive.",Low
64,64,Sentence of imprisonment for non-payment of fine,"In every case of an offence punishable with imprisonment as well as fine, in which the offender is sentenced to a fine, it shall be competent to the Court to direct that, in default of payment of the fine, the offender shall suffer imprisonment for a certain term.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"In every case of an offence punishable with imprisonment as well as fine, in which the offender is sentenced to a fine, whether with or without imprisonment, and in every case of an offence punishable with imprisonment or fine, or with fine only, in which the offender is sentenced to a fine, it shall be competent to the Court which sentences such offender to direct by the sentence that, in default of payment of the fine, the offender shall suffer imprisonment for a certain term, which imprisonment shall be in excess of any other imprisonment to which he may have been sentenced or to which he may be liable under a commutation of a sentence.",Low
65,65,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable","The term for which the Court directs the offender to be imprisoned in default of payment of a fine shall not exceed one-fourth of the term of imprisonment which is the maximum fixed for the offence, if the offence be punishable with imprisonment as well as fine.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"The term for which the Court directs the offender to be imprisoned in default of payment of a fine shall not exceed one-fourth of the term of imprisonment which is the maximum fixed for the offence, if the offence be punishable with imprisonment as well as fine.",Low
66,66,Description of imprisonment for non-payment of fine,The imprisonment which the Court imposes in default of payment of a fine may be of any description to which the offender might have been sentenced for the offence.,Of Punishments,Not Applicable,Not Applicable,Not Applicable,The imprisonment which the Court imposes in default of payment of a fine may be of any description to which the offender might have been sentenced for the offence.,Low
67,67,"Imprisonment for non-payment of fine, when offence punishable with fine only","If the offence be punishable with fine only, the imprisonment which the Court imposes in default of payment of the fine shall be simple.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"If the offence be punishable with fine only, the imprisonment which the Court imposes in default of payment of the fine shall be simple, and the term for which the Court directs the offender to be imprisoned, in default of payment of fine, shall not exceed the following scale...",Low
68,68,Imprisonment to terminate on payment of fine,The imprisonment which is imposed in default of payment of a fine shall terminate whenever that fine is either paid or levied by process of law.,Of Punishments,Not Applicable,Not Applicable,Not Applicable,The imprisonment which is imposed in default of payment of a fine shall terminate whenever that fine is either paid or levied by process of law.,Low
69,69,Termination of imprisonment on payment of proportional part of fine,"If, before the expiration of the term of imprisonment fixed in default of payment, such a proportion of the fine be paid or levied that the term of imprisonment suffered in default of payment is not less than proportional to the part of the fine still unpaid, the imprisonment shall terminate.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"If, before the expiration of the term of imprisonment fixed in default of payment, such a proportion of the fine be paid or levied that the term of imprisonment suffered in default of payment is not less than proportional to the part of the fine still unpaid, the imprisonment shall terminate.",Low
70,70,"Fine leviable within six years, or during imprisonment. Death not to discharge property from liability","The fine, or any part thereof which remains unpaid, may be levied at any time within six years after the passing of the sentence, and if, under the sentence, the offender be liable to imprisonment for a longer period than six years, then at any time previous to the expiration of that period.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"The fine, or any part thereof which remains unpaid, may be levied at any time within six years after the passing of the sentence, and if, under the sentence, the offender be liable to imprisonment for a longer period than six years, then at any time previous to the expiration of that period; and the death of the offender does not discharge from the liability any property which would, after his death, be legally liable for his debts.",High
71,71,Limit of punishment of offence made up of several offences,"Where anything which is an offence is made up of parts, any of which parts is itself an offence, the offender shall not be punished with the punishment of more than one of such his offences, unless it be so expressly provided.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"Where anything which is an offence is made up of parts, any of which parts is itself an offence, the offender shall not be punished with the punishment of more than one of such his offences, unless it be so expressly provided.",Low
72,72,"Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which","In all cases in which judgment is given that a person is guilty of one of several offences specified in the judgment, but that it is doubtful of which of those offences he is guilty, the offender shall be punished for the offence for which the lowest punishment is provided if the same punishment is not provided for all.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"In all cases in which judgment is given that a person is guilty of one of several offences specified in the judgment, but that it is doubtful of which of those offences he is guilty, the offender shall be punished for the offence for which the lowest punishment is provided if the same punishment is not provided for all.",Low
73,73,Solitary confinement,"Whenever any person is convicted of an offence for which under this Code the Court has power to sentence him to rigorous imprisonment, the Court may, by its sentence, order that the offender shall be kept in solitary confinement for any portion or portions of the imprisonment to which he is sentenced.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"Whenever any person is convicted of an offence for which under this Code the Court has power to sentence him to rigorous imprisonment, the Court may, by its sentence, order that the offender shall be kept in solitary confinement for any portion or portions of the imprisonment to which he is sentenced, not exceeding three months in the whole...",Low
74,74,Limit of solitary confinement,"In executing a sentence of solitary confinement, such confinement shall in no case exceed fourteen days at a time, with intervals between the periods of solitary confinement of not less duration than such periods.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"In executing a sentence of solitary confinement, such confinement shall in no case exceed fourteen days at a time, with intervals between the periods of solitary confinement of not less duration than such periods; and when the imprisonment awarded shall exceed three months, the solitary confinement shall not exceed seven days in any one month of the whole imprisonment awarded, with intervals between the periods of solitary confinement of not less duration than such periods.",Low
75,75,Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction,"Whoever, having been convicted of an offence punishable under Chapter XII or Chapter XVII of this Code with imprisonment of either description for a term of three years or upwards, shall be guilty of any offence punishable under either of those Chapters with like imprisonment for the like term, shall be subject for every such subsequent offence to imprisonment for life.",Of Punishments,Not Applicable,Not Applicable,Not Applicable,"Whoever, having been convicted,— (a) by a Court in India, of an offence punishable under Chapter XII or Chapter XVII of this Code with imprisonment of either description for a term of three years or upwards, shall be guilty of any offence punishable under either of those Chapters with like imprisonment for the like term, shall be subject for every such subsequent offence to imprisonment for life or to imprisonment of either description for a term which may extend to ten years.",Low
76,76,"Act done by a person bound, or by mistake of fact believing himself bound, by law","Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by reason of a mistake of law in good faith believes himself to be, bound by law to do it.",General Exceptions,Not Applicable,Not Applicable,Not Applicable,"Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by reason of a mistake of law in good faith believes himself to be, bound by law to do it.",Low
77,77,Act of Judge when acting judicially,"Nothing is an offence which is done by a Judge when acting judicially in the exercise of any power which is, or which in good faith he believes to be, given to him by law.",General Exceptions,Not Applicable,Not Applicable,Not Applicable,"Nothing is an offence which is done by a Judge when acting judicially in the exercise of any power which is, or which in good faith he believes to be, given to him by law.",Low
78,78,Act done pursuant to the judgment or order of Court,"Nothing which is done in pursuance of, or which is warranted by the judgment or order of, a Court of Justice, if done whilst such judgment or order remains in force, is an offence.",General Exceptions,Not Applicable,Not Applicable,Not Applicable,"Nothing which is done in pursuance of, or which is warranted by the judgment or order of, a Court of Justice, if done whilst such judgment or order remains in force, is an offence, notwithstanding the Court may have had no jurisdiction to pass such judgment or order, provided the person doing the act in good faith believes that the Court had such jurisdiction.",Low
79,79,"Act done by a person justified, or by mistake of fact believing himself justified, by law","Nothing is an offence which is done by any person who is justified by law, or who by reason of a mistake of fact and not by reason of a mistake of law in good faith, believes himself to be justified by law, in doing it.",General Exceptions,Not Applicable,Not Applicable,Not Applicable,"Nothing is an offence which is done by any person who is justified by law, or who by reason of a mistake of fact and not by reason of a mistake of law in good faith, believes himself to be justified by law, in doing it.",Low
80,80,Accident in doing a lawful act,"Nothing is an offence which is done by accident or misfortune, and without any criminal intention or knowledge in the doing of a lawful act in a lawful manner by lawful means and with proper care and caution.",General Exceptions,Not Applicable,Not Applicable,Not Applicable,"Nothing is an offence which is done by accident or misfortune, and without any criminal intention or knowledge in the doing of a lawful act in a lawful manner by lawful means and with proper care and caution.",Low
81,81,"Act likely to cause harm, but done without criminal intent, and to prevent other harm","Nothing is an offence merely by reason of its being done with the knowledge that it is likely to cause harm, if it be done without any criminal intention to cause harm, and in good faith for the purpose of preventing or avoiding other harm to person or property.",General Exceptions,Not Applicable,Not Applicable,Not Applicable,"Nothing is an offence merely by reason of its being done with the knowledge that it is likely to cause harm, if it be done without any criminal intention to cause harm, and in good faith for the purpose of preventing or avoiding other harm to person or property.",Low
82,82,Act of a child under seven years of age,Nothing is an offence which is done by a child under seven years of age.,General Exceptions,Not Applicable,Not Applicable,Not Applicable,Nothing is an offence which is done by a child under seven years of age.,Low
83,83,Act of a child above seven and under twelve of immature understanding,"Nothing is an offence which is done by a child above seven years of age and under twelve, who has not attained sufficient maturity of understanding to judge of the nature and consequences of his conduct on that occasion.",General Exceptions,Not Applicable,Not Applicable,Not Applicable,"Nothing is an offence which is done by a child above seven years of age and under twelve, who has not attained sufficient maturity of understanding to judge of the nature and consequences of his conduct on that occasion.",Low
84,84,Act of a person of unsound mind,"Nothing is an offence which is done by a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law.",General Exceptions,Not Applicable,Not Applicable,Not Applicable,"Nothing is an offence which is done by a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law.",Low
